Date,Price,Open,High,Low,Vol.,Change %
20-06-2012,"9,831.80","9,812.85","9,875.65","9,764.45",15.05M,0.46%
19-06-2012,"9,786.45","9,730.00","9,808.00","9,619.15",19.76M,0.37%
18-06-2012,"9,749.90","10,178.85","10,197.80","9,695.60",24.63M,-3.13%
15-06-2012,"10,064.80","9,881.40","10,098.90","9,881.40",17.34M,2.32%
14-06-2012,"9,836.95","10,073.50","10,096.75","9,813.65",16.59M,-2.88%
13-06-2012,"10,128.15","10,150.00","10,224.55","10,075.20",18.30M,-0.11%
12-06-2012,"10,139.20","9,899.45","10,156.40","9,893.35",18.72M,1.71%
11-06-2012,"9,969.20","10,070.15","10,157.75","9,934.05",17.01M,-0.30%
08-06-2012,"9,998.85","9,969.55","10,031.20","9,809.95",19.70M,0.48%
07-06-2012,"9,950.90","9,830.50","9,974.70","9,787.95",22.84M,2.14%
06-06-2012,"9,742.80","9,519.00","9,770.65","9,519.00",25.84M,2.99%
05-06-2012,"9,460.15","9,433.25","9,545.50","9,400.35",17.38M,1.05%
04-06-2012,"9,362.30","9,174.55","9,406.25","9,110.45",16.54M,1.02%
01-06-2012,"9,267.60","9,434.45","9,493.25","9,252.60",18.39M,-1.84%
31-05-2012,"9,441.00","9,414.35","9,479.35","9,360.05",35.01M,-0.98%
30-05-2012,"9,534.05","9,642.20","9,642.20","9,514.25",14.07M,-1.79%
29-05-2012,"9,708.10","9,734.85","9,783.45","9,687.65",16.03M,0.10%
28-05-2012,"9,698.30","9,483.10","9,716.50","9,483.10",15.85M,2.56%
25-05-2012,"9,456.30","9,422.45","9,497.00","9,371.55",17.86M,0.20%
24-05-2012,"9,437.60","9,277.25","9,463.70","9,198.75",17.72M,2.47%
23-05-2012,"9,209.90","9,237.35","9,295.65","9,157.20",16.69M,-0.64%
22-05-2012,"9,268.80","9,510.45","9,522.30","9,253.05",20.80M,-1.52%
21-05-2012,"9,412.00","9,299.90","9,478.95","9,299.90",18.44M,1.09%
18-05-2012,"9,310.25","9,013.10","9,364.70","8,995.25",27.49M,1.70%
17-05-2012,"9,154.20","9,199.50","9,328.50","9,113.65",19.26M,-0.11%
16-05-2012,"9,164.25","9,184.45","9,208.15","9,047.05",24.48M,-1.67%
15-05-2012,"9,319.70","9,186.45","9,361.45","9,166.10",19.41M,0.67%
14-05-2012,"9,257.65","9,412.60","9,498.80","9,190.30",18.47M,-1.49%
11-05-2012,"9,398.10","9,353.45","9,532.65","9,296.65",18.13M,-0.14%
10-05-2012,"9,410.90","9,411.75","9,580.40","9,362.10",25.69M,0.06%
09-05-2012,"9,404.80","9,517.00","9,572.35","9,340.45",26.61M,-1.92%
08-05-2012,"9,588.75","9,909.40","9,924.15","9,526.65",19.24M,-2.91%
07-05-2012,"9,876.35","9,664.85","9,910.70","9,480.50",26.92M,0.75%
04-05-2012,"9,802.35","10,063.50","10,068.65","9,757.75",25.49M,-3.20%
03-05-2012,"10,126.55","10,231.70","10,255.85","10,100.25",19.32M,-1.75%
02-05-2012,"10,306.60","10,282.70","10,382.35","10,278.45",14.06M,0.29%
30-04-2012,"10,276.80","10,210.10","10,360.55","10,210.10",18.10M,1.26%
27-04-2012,"10,148.70","10,146.10","10,249.15","10,029.45",30.89M,0.20%
26-04-2012,"10,128.00","10,171.85","10,193.90","10,083.50",25.25M,-0.31%
25-04-2012,"10,159.85","10,215.85","10,277.85","10,043.65",18.51M,-0.54%
24-04-2012,"10,215.15","10,275.55","10,287.90","10,151.80",14.90M,-0.27%
23-04-2012,"10,243.15","10,432.60","10,521.45","10,206.90",16.98M,-2.04%
20-04-2012,"10,456.50","10,538.30","10,577.45","10,387.05",15.32M,-1.05%
19-04-2012,"10,567.90","10,536.95","10,594.90","10,438.65",16.43M,0.53%
18-04-2012,"10,512.45","10,585.55","10,645.85","10,479.50",14.52M,-0.07%
17-04-2012,"10,519.55","10,502.65","10,621.90","10,248.55",28.79M,0.83%
16-04-2012,"10,432.70","10,274.15","10,447.95","10,274.15",17.25M,1.23%
13-04-2012,"10,306.25","10,478.25","10,587.95","10,235.70",18.09M,-0.91%
12-04-2012,"10,400.70","10,250.70","10,432.80","10,250.70",19.00M,1.83%
11-04-2012,"10,214.25","10,117.25","10,309.75","10,060.70",18.09M,0.18%
10-04-2012,"10,196.05","10,169.20","10,209.90","10,077.05",13.41M,0.64%
09-04-2012,"10,131.60","10,256.65","10,256.65","10,113.75",9.06M,-2.02%
04-04-2012,"10,340.10","10,345.15","10,371.85","10,267.95",10.50M,-0.89%
03-04-2012,"10,432.60","10,381.00","10,502.70","10,376.00",15.12M,1.23%
02-04-2012,"10,305.35","10,186.80","10,321.75","10,180.95",11.95M,0.91%
30-03-2012,"10,212.75","9,984.80","10,248.05","9,981.90",20.69M,2.87%
29-03-2012,"9,927.65","9,859.25","9,988.55","9,845.40",37.26M,-0.33%
28-03-2012,"9,960.40","10,122.05","10,122.05","9,901.20",21.18M,-1.86%
27-03-2012,"10,148.85","10,171.90","10,247.05","9,967.55",26.41M,1.05%
26-03-2012,"10,043.50","10,260.20","10,263.10","10,013.05",16.22M,-2.44%
23-03-2012,"10,294.55","10,249.75","10,404.25","10,125.75",16.59M,1.19%
22-03-2012,"10,173.55","10,525.00","10,583.75","10,135.85",18.65M,-3.33%
21-03-2012,"10,524.45","10,238.65","10,562.05","10,217.45",17.76M,2.36%
20-03-2012,"10,281.60","10,183.00","10,369.20","10,137.80",16.68M,0.91%
19-03-2012,"10,188.85","10,440.85","10,440.85","10,135.25",16.95M,-1.95%
16-03-2012,"10,391.35","10,607.75","10,832.30","10,348.05",23.93M,-1.92%
15-03-2012,"10,595.00","10,894.45","10,894.45","10,556.40",19.71M,-2.71%
14-03-2012,"10,889.70","10,820.40","10,912.05","10,768.65",22.90M,1.90%
13-03-2012,"10,686.20","10,707.90","10,765.70","10,671.45",15.28M,0.57%
