Date,Sentiment_Score,Prob_Pos,Prob_Neg,News_Volume
"April 14, 2005, Thursday",0.21665454,0.35718212,0.14052758,8
"April 14, 2006, Friday",-0.17009187,0.1616208,0.33171266,8
"April 14, 2007, Saturday",0.09127929,0.31854868,0.22726937,3
"April 14, 2008, Monday",-0.092598334,0.41265333,0.50525165,4
"April 14, 2009, Tuesday",0.18157512,0.42621168,0.24463657,8
"April 14, 2010, Wednesday",-0.2608181,0.09352047,0.35433853,18
"April 14, 2011, Thursday",0.23389432,0.4594754,0.22558106,17
"April 14, 2012, Saturday",-0.09478071,0.26481453,0.35959524,5
"April 14, 2013, Sunday",0.84310275,0.86502576,0.021922931,3
"April 14, 2014, Monday",0.54050505,0.5512489,0.010743866,1
"April 14, 2015, Tuesday",0.25567198,0.5102469,0.25457492,5
"April 14, 2016, Thursday",-0.13394617,0.18885241,0.32279858,6
"April 14, 2017, Friday",0.08210438,0.248873,0.16676863,6
"April 14, 2018, Saturday",0.360038,0.44597325,0.085935235,6
"April 14, 2019, Sunday",-0.19302869,0.17321867,0.36624736,1
"April 14, 2020, Tuesday",-0.3703443,0.19185926,0.5622036,6
"April 15, 2003, Tuesday",-0.34127524,0.030201614,0.3714769,3
"April 15, 2004, Thursday",0.43516502,0.44572163,0.0105566345,3
"April 15, 2005, Friday",-0.09878204,0.22101438,0.3197964,6
"April 15, 2006, Saturday",0.051211737,0.38338137,0.33216962,15
"April 15, 2007, Sunday",0.5649982,0.60908943,0.044091213,2
"April 15, 2008, Tuesday",0.17719676,0.20868114,0.031484373,2
"April 15, 2009, Wednesday",0.06970477,0.4424309,0.37272617,5
"April 15, 2010, Thursday",0.04431308,0.36195108,0.31763798,8
"April 15, 2011, Friday",0.090648726,0.36364913,0.2730004,5
"April 15, 2012, Sunday",-0.13820167,0.18757826,0.32577994,6
"April 15, 2013, Monday",0.39569902,0.49361295,0.09791393,16
"April 15, 2014, Tuesday",0.35222182,0.44423774,0.09201593,8
"April 15, 2015, Wednesday",-0.039941847,0.15758196,0.1975238,5
"April 15, 2016, Friday",-0.038252264,0.23820384,0.27645612,6
"April 15, 2017, Saturday",0.07798833,0.2235649,0.14557655,5
"April 15, 2018, Sunday",0.21876006,0.36254215,0.14378212,6
"April 15, 2020, Wednesday",0.42181945,0.5143991,0.09257967,3
"April 16, 2003, Wednesday",-0.18286547,0.1544987,0.33736417,7
"April 16, 2004, Friday",0.456982,0.6207131,0.16373114,6
"April 16, 2005, Saturday",0.49548912,0.51624334,0.020754198,10
"April 16, 2007, Monday",0.36096364,0.65844154,0.29747793,2
"April 16, 2008, Wednesday",0.32887575,0.36319688,0.03432111,12
"April 16, 2009, Thursday",0.4154736,0.62131864,0.20584504,9
"April 16, 2010, Friday",0.22000094,0.431597,0.21159606,18
"April 16, 2011, Saturday",0.4560856,0.48322892,0.027143335,5
"April 16, 2012, Monday",0.36338526,0.48494262,0.121557355,8
"April 16, 2013, Tuesday",0.20203304,0.36134255,0.15930948,5
"April 16, 2014, Wednesday",-0.061551165,0.15110241,0.21265359,5
"April 16, 2015, Thursday",0.49941355,0.5292474,0.029833874,7
"April 16, 2016, Saturday",-0.15546739,0.19522709,0.3506945,4
"April 16, 2017, Sunday",0.01914837,0.36512277,0.34597442,3
"April 16, 2018, Monday",-0.23470429,0.26518518,0.49988943,9
"April 16, 2019, Tuesday",0.24773897,0.38332248,0.1355835,2
"April 16, 2020, Thursday",0.20460483,0.36223352,0.1576287,2
"April 17, 2003, Thursday",-0.032716304,0.045162264,0.07787857,5
"April 17, 2004, Saturday",0.2502645,0.386402,0.13613753,9
"April 17, 2006, Monday",0.120378226,0.21376902,0.093390785,2
"April 17, 2007, Tuesday",0.149122,0.4877363,0.33861437,7
"April 17, 2008, Thursday",0.5074578,0.5526749,0.045217086,7
"April 17, 2009, Friday",-0.03921054,0.321821,0.36103153,13
"April 17, 2010, Saturday",0.06041097,0.4740788,0.41366786,7
"April 17, 2011, Sunday",0.8594629,0.9130926,0.053629704,4
"April 17, 2012, Tuesday",-0.12128366,0.29319343,0.41447708,22
"April 17, 2013, Wednesday",0.018981993,0.37448743,0.35550544,7
"April 17, 2014, Thursday",0.08579089,0.2711952,0.1854043,7
"April 17, 2015, Friday",0.06700418,0.25247353,0.18546934,7
"April 17, 2016, Sunday",-0.063046515,0.4327099,0.49575642,2
"April 17, 2017, Monday",-0.0050612926,0.33264074,0.33770207,6
"April 17, 2018, Tuesday",-0.061806776,0.30275613,0.3645629,10
"April 17, 2019, Wednesday",-0.86916673,0.040637117,0.90980387,1
"April 17, 2020, Friday",-0.20327964,0.25311536,0.45639497,8
"April 18, 2003, Friday",0.07160752,0.15536201,0.083754495,7
"April 18, 2005, Monday",0.36245185,0.5281528,0.165701,10
"April 18, 2006, Tuesday",0.32986218,0.5063743,0.17651208,13
"April 18, 2007, Wednesday",0.3139848,0.46608225,0.15209743,7
"April 18, 2008, Friday",-0.21135661,0.15507822,0.3664348,9
